% f_log(GV/m) T(K) deltaE(eV)
-9.21034037 200.0 4.52246964
-9.21034037 206.0 4.52350718
-9.21034037 212.0 4.52454472
-9.21034037 218.1 4.52558226
-9.21034037 224.1 4.52661980
-9.21034037 230.1 4.52765734
-9.21034037 236.1 4.52869488
-9.21034037 242.1 4.52973242
-9.21034037 248.2 4.53076997
-9.21034037 254.2 4.53180751
-9.21034037 260.2 4.53284505
-9.21034037 266.2 4.53388259
-9.21034037 272.2 4.53492013
-9.21034037 278.3 4.53595767
-9.21034037 284.3 4.53699521
-9.21034037 290.3 4.53803275
-9.21034037 296.3 4.53907029
-9.21034037 302.3 4.54010783
-9.21034037 308.4 4.54114537
-9.21034037 314.4 4.54218291
-9.21034037 320.4 4.54322045
-9.21034037 326.4 4.54425799
-9.21034037 332.4 4.54529553
-9.21034037 338.5 4.54633307
-9.21034037 344.5 4.54737061
-9.21034037 350.5 4.54840815
-9.21034037 356.5 4.54944569
-9.21034037 362.5 4.55048324
-9.21034037 368.6 4.55152078
-9.21034037 374.6 4.55255832
-9.21034037 380.6 4.55359587
-9.21034037 386.6 4.55463341
-9.21034037 392.6 4.55567096
-9.21034037 398.7 4.55670851
-9.21034037 404.7 4.55774606
-9.21034037 410.7 4.55878362
-9.21034037 416.7 4.55982117
-9.21034037 422.7 4.56085873
-9.21034037 428.8 4.56189630
-9.21034037 434.8 4.56293387
-9.21034037 440.8 4.56397144
-9.21034037 446.8 4.56500902
-9.21034037 452.8 4.56604660
-9.21034037 458.9 4.56708419
-9.21034037 464.9 4.56812178
-9.21034037 470.9 4.56915938
-9.21034037 476.9 4.57019698
-9.21034037 482.9 4.57123459
-9.21034037 489.0 4.57227220
-9.21034037 495.0 4.57330982
-9.21034037 501.0 4.57434745
-9.21034037 507.0 4.57538508
-9.21034037 513.0 4.57642272
-9.21034037 519.1 4.57746036
-9.21034037 525.1 4.57849800
-9.21034037 531.1 4.57953565
-9.21034037 537.1 4.58057330
-9.21034037 543.1 4.58161096
-9.21034037 549.2 4.58264862
-9.21034037 555.2 4.58368628
-9.21034037 561.2 4.58472394
-9.21034037 567.2 4.58576160
-9.21034037 573.2 4.58679926
-9.21034037 579.3 4.58783692
-9.21034037 585.3 4.58887458
-9.21034037 591.3 4.58991223
-9.21034037 597.3 4.59094988
-9.21034037 603.3 4.59198753
-9.21034037 609.4 4.59302517
-9.21034037 615.4 4.59406281
-9.21034037 621.4 4.59510044
-9.21034037 627.4 4.59613806
-9.21034037 633.4 4.59717568
-9.21034037 639.5 4.59821328
-9.21034037 645.5 4.59925087
-9.21034037 651.5 4.60028846
-9.21034037 657.5 4.60132603
-9.21034037 663.5 4.60236360
-9.21034037 669.6 4.60340115
-9.21034037 675.6 4.60443868
-9.21034037 681.6 4.60547621
-9.21034037 687.6 4.60651372
-9.21034037 693.6 4.60755122
-9.21034037 699.7 4.60858871
-9.21034037 705.7 4.60962618
-9.21034037 711.7 4.61066364
-9.21034037 717.7 4.61170108
-9.21034037 723.7 4.61273851
-9.21034037 729.8 4.61377593
-9.21034037 735.8 4.61481333
-9.21034037 741.8 4.61585072
-9.21034037 747.8 4.61688810
-9.21034037 753.8 4.61792547
-9.21034037 759.9 4.61896282
-9.21034037 765.9 4.62000016
-9.21034037 771.9 4.62103750
-9.21034037 777.9 4.62207482
-9.21034037 783.9 4.62311213
-9.21034037 790.0 4.62414943
-9.21034037 796.0 4.62518672
-9.21034037 802.0 4.62622401
-9.21034037 808.0 4.62726128
-9.21034037 814.0 4.62829855
-9.21034037 820.1 4.62933582
-9.21034037 826.1 4.63037308
-9.21034037 832.1 4.63141033
-9.21034037 838.1 4.63244758
-9.21034037 844.1 4.63348483
-9.21034037 850.2 4.63452208
-9.21034037 856.2 4.63555932
-9.21034037 862.2 4.63659656
-9.21034037 868.2 4.63763381
-9.21034037 874.2 4.63867105
-9.21034037 880.3 4.63970830
-9.21034037 886.3 4.64074554
-9.21034037 892.3 4.64178280
-9.21034037 898.3 4.64282005
-9.21034037 904.3 4.64385731
-9.21034037 910.4 4.64489457
-9.21034037 916.4 4.64593184
-9.21034037 922.4 4.64696911
-9.21034037 928.4 4.64800640
-9.21034037 934.4 4.64904368
-9.21034037 940.5 4.65008098
-9.21034037 946.5 4.65111828
-9.21034037 952.5 4.65215559
-9.21034037 958.5 4.65319291
-9.21034037 964.5 4.65423024
-9.21034037 970.6 4.65526758
-9.21034037 976.6 4.65630493
-9.21034037 982.6 4.65734229
-9.21034037 988.6 4.65837966
-9.21034037 994.6 4.65941704
-9.21034037 1000.7 4.66045443
-9.21034037 1006.7 4.66149183
-9.21034037 1012.7 4.66252925
-9.21034037 1018.7 4.66356667
-9.21034037 1024.7 4.66460410
-9.21034037 1030.8 4.66564155
-9.21034037 1036.8 4.66667901
-9.21034037 1042.8 4.66771648
-9.21034037 1048.8 4.66875396
-9.21034037 1054.8 4.66979145
-9.21034037 1060.9 4.67082895
-9.21034037 1066.9 4.67186646
-9.21034037 1072.9 4.67290398
-9.21034037 1078.9 4.67394152
-9.21034037 1084.9 4.67497906
-9.21034037 1091.0 4.67601662
-9.21034037 1097.0 4.67705418
-9.21034037 1103.0 4.67809176
-9.21034037 1109.0 4.67912934
-9.21034037 1115.1 4.68016693
-9.21034037 1121.1 4.68120454
-9.21034037 1127.1 4.68224215
-9.21034037 1133.1 4.68327977
-9.21034037 1139.1 4.68431740
-9.21034037 1145.2 4.68535504
-9.21034037 1151.2 4.68639268
-9.21034037 1157.2 4.68745246
-9.21034037 1163.2 4.68849194
-9.21034037 1169.2 4.68953138
-9.21034037 1175.3 4.69057076
-9.21034037 1181.3 4.69161010
-9.21034037 1187.3 4.69264938
-9.21034037 1193.3 4.69366387
-9.21034037 1199.3 4.69470115
-9.21034037 1205.4 4.69573869
-9.21034037 1211.4 4.69677623
-9.21034037 1217.4 4.69781377
